sma,buy,sell,score,avg_cagr,median_cagr,p25_cagr,win_rate_cagr_gt_30,avg_sharpe,avg_dd,worst_dd
125,3,5,0.3547377981632899,0.3308272159531379,0.3439600853228353,0.29167868542092235,0.71,0.8608822563755508,-0.5597764001681547,-0.5902432961049032
175,4,2,0.35411947434337,0.3378298994252196,0.35966390770434153,0.2707118674983595,0.67,0.8824555127868058,-0.49884481455037405,-0.5320982412840862
125,6,5,0.3540991066323077,0.31906996048600994,0.32095673408008185,0.2795757160227086,0.64,0.8586313775351436,-0.47214095971290027,-0.49845061355692966
225,3,0,0.353369717950299,0.31571136669446487,0.3228544237487152,0.2841006523496028,0.63,0.8638497127875777,-0.4836562941008066,-0.5479920444226354
175,2,1,0.35298576630198014,0.33802908235045837,0.3546033661339214,0.27052446508833494,0.7,0.8863767258275828,-0.4945849239252105,-0.5320982412840864
100,1,5,0.3528163188170982,0.3463876357571042,0.36361132200856106,0.279336291923997,0.72,0.8794898512744197,-0.5263621531329896,-0.6097966553588996
175,8,1,0.3523423300527299,0.3160981585566504,0.3356231888631156,0.2693484788948961,0.64,0.8890289425284855,-0.4449359306261016,-0.5220426867140328
150,4,4,0.3521398981795828,0.34396567844452103,0.3680221127006609,0.26839347906472044,0.71,0.8917465185058702,-0.49114189173242223,-0.5746401480294789
125,8,4,0.3517929934940855,0.3065149184604655,0.31501141994385606,0.27928979871525095,0.6,0.86741626758404,-0.45336525051461346,-0.5274027354648465
125,4,6,0.3517414357730425,0.3364378433372546,0.3406476906450415,0.2879737822725874,0.69,0.8748942811564413,-0.5453496399330702,-0.6000862392585632
200,1,1,0.3516367217287906,0.330321954761959,0.3441330922815262,0.2752926714931412,0.68,0.8733324005138725,-0.4930826638477578,-0.5479920444226355
125,2,3,0.35123707655303843,0.33785523170268583,0.3489358425085345,0.2778401687619314,0.69,0.8725021379127946,-0.5216059096958091,-0.5593809895640655
175,1,6,0.35092265588177896,0.34255145278104193,0.3489468052370803,0.2884814811313765,0.69,0.8791898239623309,-0.566152594435774,-0.6208708166726928
225,6,0,0.3501920511805993,0.31069528504166627,0.3295676424638141,0.273448681827418,0.63,0.8695171076026614,-0.45797374990798256,-0.5320982412840864
125,6,4,0.3499224027233856,0.311576122965062,0.3193059792258839,0.27476489192454734,0.64,0.8523946951259922,-0.45970055779716673,-0.4962709060464048
175,6,3,0.34926144745840304,0.3180012130410781,0.32662571825349174,0.2780789170308604,0.63,0.862088726070211,-0.483775196916413,-0.5405054541682675
175,6,2,0.34876152892688694,0.3232535920827923,0.3331586536194846,0.27486539524588993,0.63,0.8692508707182585,-0.4849909943871381,-0.5405054541682675
125,8,3,0.347576167684897,0.30341391184670696,0.32505178480096086,0.2707147739833684,0.64,0.8745588508512491,-0.4510930458368574,-0.5274027354648467
125,3,6,0.3473767500256345,0.3403488956602308,0.34117809612517314,0.29167868542092235,0.7,0.8736530623023411,-0.581016362312628,-0.6388455054577036
150,4,1,0.3473609457297642,0.3378446024490198,0.35816271381537934,0.2616385046288501,0.66,0.8877900221729804,-0.4787323864991532,-0.5320982412840864
100,7,6,0.3461808981337292,0.30876783622126097,0.32068365521427733,0.27313680147475683,0.65,0.8591735904415194,-0.45990663629051326,-0.5274027354648465
200,4,1,0.3457381221312198,0.31979194722885423,0.33617627183139964,0.2693612063459523,0.64,0.8678632666277413,-0.4792001379794423,-0.5320982412840862
150,2,4,0.34545072550439315,0.3361514469345942,0.35311341563338705,0.27219259859748957,0.68,0.8704006202560325,-0.5108971796124527,-0.5865595663177017
175,0,4,0.34470786416221383,0.33602915301428693,0.34653076508416514,0.2805862784638653,0.7,0.8745710686166585,-0.542023215859772,-0.6208708166726928
200,4,2,0.34423516689009487,0.31895330499622326,0.3308425500122638,0.26962406684384677,0.64,0.8664614918041498,-0.47742406394972975,-0.5320982412840864
100,2,5,0.344109673306532,0.3341935707224048,0.3459477589918243,0.2722717772880321,0.7,0.8624131318398122,-0.5296142449052279,-0.5468316078719615
175,5,1,0.34286262683686275,0.32361855311019794,0.3382608851216513,0.2655206660803655,0.66,0.8735334749630036,-0.48101835753926986,-0.5320982412840863
200,8,0,0.34252106147636474,0.30649863476284134,0.3181993507470684,0.2659517095148938,0.59,0.8786066551022538,-0.44070570447316626,-0.5220426867140329
150,6,4,0.3423511995523204,0.3118916914020665,0.3169380572438596,0.2730679496543853,0.58,0.8495837352115305,-0.47839583569112404,-0.5220426867140329
125,3,4,0.3422266994757747,0.32819810113361597,0.3397956160730766,0.2748800559557951,0.68,0.8584928270176371,-0.532513214639,-0.5635966251032813
250,5,0,0.34132229990166224,0.31175089298862974,0.33710162333906957,0.2624827355631312,0.62,0.8703603348090792,-0.463041720720508,-0.5320982412840862
100,8,7,0.34056254247185874,0.3104111344015958,0.3118609727122168,0.2649089915240723,0.61,0.8605771358640425,-0.4418470176028933,-0.49322318258265674
175,3,1,0.34055687240215105,0.33249279313351804,0.34598706973711946,0.26823416735740735,0.66,0.8765747545050658,-0.5154031987438294,-0.5705036587439383
225,5,1,0.3395647866469686,0.3093017129059817,0.31788152430278327,0.26906435468815815,0.57,0.8585825987316449,-0.46862404431072213,-0.5320982412840862
200,1,3,0.33951570883669485,0.32711452106846034,0.34012200556627503,0.27797231947901,0.69,0.8633114222950516,-0.5373095392237192,-0.6208708166726928
125,4,4,0.3391453494678919,0.3230059137036382,0.33730247448777484,0.26985477448203565,0.68,0.8584071835574214,-0.5076055554058297,-0.5652519912075906
125,6,6,0.33879099396700246,0.32682459392751495,0.3305967068367941,0.27022442587233764,0.64,0.8648616516477291,-0.5044762872958128,-0.557940569545338
200,0,0,0.3381169150838416,0.3130861030913753,0.32455742601173276,0.27281528670031285,0.58,0.8462956809041237,-0.5050354234107514,-0.5539287438361744
100,3,7,0.3379211040482638,0.337496929576384,0.3348573992363888,0.28801193784563983,0.69,0.8606710531183925,-0.5971020704314687,-0.6449235932780728
200,3,0,0.3376048291932282,0.31479855481709257,0.3309136230291989,0.2644043354538932,0.64,0.856971640579628,-0.48305984532371854,-0.5320982412840862
175,4,0,0.3374758673478818,0.3144653576845969,0.32533735611586057,0.2649374181588531,0.61,0.8611650921104496,-0.47510840576624835,-0.5320982412840863
200,5,2,0.3372012422758276,0.307480427773022,0.319870436010939,0.2675792128192367,0.64,0.8492213255894824,-0.4755042088832307,-0.5320982412840864
175,0,6,0.33718036808960317,0.33375918029309404,0.3476198159548416,0.27722574628395913,0.67,0.8630917781977325,-0.572271453059165,-0.6208708166726928
150,3,4,0.33643169498888037,0.33485235578692973,0.3466198920275363,0.2634079291609497,0.66,0.8641418493021399,-0.5173930406705864,-0.5533737944540786
100,2,4,0.33633856256291655,0.33681075078288075,0.3485770161065982,0.2624382055673762,0.67,0.8701079521426515,-0.5192686322422401,-0.5539799894411228
175,6,1,0.3358766617966751,0.31399987814653707,0.329491630137158,0.26402510464855844,0.61,0.8582866177267412,-0.4840241450100102,-0.5405054541682677
100,2,8,0.33444160784104526,0.33595604122458134,0.3297751231264787,0.28701386150063257,0.66,0.8538020357320457,-0.6002299751548551,-0.6427011259383588
175,1,7,0.33442338523034965,0.330793013870813,0.33773129735863927,0.2781391156627324,0.66,0.8583502832656342,-0.5708552125157333,-0.6208708166726928
175,1,4,0.3343511924455443,0.32846241357222133,0.3398136985377902,0.2735854947317873,0.69,0.8619171479807355,-0.5419615578804929,-0.6208708166726928
150,1,5,0.33401904443863517,0.33384522254804216,0.33574414535053343,0.2820590189194512,0.65,0.8675322387431385,-0.5761750441112791,-0.6581199915960028
200,6,0,0.3338159103017154,0.3040844953613739,0.3252274806413531,0.26085089065609224,0.58,0.8512384279906174,-0.464615405747426,-0.5320982412840864
200,5,1,0.33367182337376255,0.3067650987108551,0.32622125498873356,0.26213491289710555,0.62,0.8468498021858004,-0.47648907346545954,-0.5320982412840864
150,2,2,0.33243057979902996,0.32079499049436355,0.3441016600719311,0.25903896346296107,0.64,0.8499603216629995,-0.5067708997644729,-0.5422828245041018
125,4,5,0.33216994351372797,0.3257647237031707,0.3373754946723395,0.2695087454078853,0.69,0.8608150665489964,-0.5356400535628301,-0.6000862392585629
